branch,branch_to,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,event_name,id,recurrence,trade_good,type
Milan,,Wool Guild Syndicate,Loans Receivable,Interest Income,57359.07,10324.63,florin,1390-01-01,Cash,67683.70,Loan repayment from Wool Guild Syndicate including interest,,1,,,loan_repayment
Florence,,Mediterranean Shipping Company,Cash,,108983.26,,florin,1390-01-01,Loans Receivable,108983.26,Commercial loan issued to Mediterranean Shipping Company,,2,,,loan_issuance
Milan,,Doge of Venice,Cash,,499458.13,,florin,1390-01-01,Loans Receivable,499458.13,Commercial loan issued to Doge of Venice,,3,,,loan_issuance
Naples,,Kingdom of Naples,Cash,,63383.89,,florin,1390-01-01,Loans Receivable,63383.89,Commercial loan issued to Kingdom of Naples,,4,,,loan_issuance
London,,Guildhall Security Company,Cash,,733.78,,florin,1390-01-01,Courier Services,733.78,Courier Services expense for London branch (weekly cycle),,5,weekly,,recurring_operating_expense
Venice,,Wool Merchant,Trading Revenue,,51419.40,,florin,1390-01-02,Cash,51419.40,Alum sale from papal mines,,6,,,alum_trade
Rome,,Count of Urbino,Cash,,9577.42,,florin,1390-01-02,Loans Receivable,9577.42,Commercial loan issued to Count of Urbino,,7,,,loan_issuance
Rome,,Republic of Florence,Cash,,5207.04,,florin,1390-01-02,Loans Receivable,5207.04,Commercial loan issued to Republic of Florence,,8,,,loan_issuance
Avignon,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,3131.31,47.68,florin,1390-01-02,Due from Bruges,3178.99,Branch settlement transfer from Avignon to Bruges,,9,,,branch_activity
Rome,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,16629.06,253.23,florin,1390-01-03,Due from Geneva,16882.29,Branch settlement transfer from Rome to Geneva,,10,,,branch_activity
Bruges,,Count of Urbino,Cash,,10469.49,,florin,1390-01-04,Deposits Payable,10469.49,Withdrawal by Count of Urbino,,11,,,withdrawal
Pisa,Florence,Inter-branch transfer to Florence,Cash,Exchange Fee Revenue,7236.07,110.19,florin,1390-01-04,Due from Florence,7346.26,Branch settlement transfer from Pisa to Florence,,12,,,branch_activity
Pisa,,Signoria Utilities Office,Cash,,9244.16,,florin,1390-01-04,Accounts Payable,9244.16,Vendor payment to Signoria Utilities Office for branch services,,13,,,vendor_payment
Bruges,,Mediterranean Shipping Company,Cash,,103053.21,,florin,1390-01-04,Loans Receivable,103053.21,Commercial loan issued to Mediterranean Shipping Company,,14,,,loan_issuance
Florence,London,Inter-branch transfer to London,Cash,Exchange Fee Revenue,42669.70,649.79,florin,1390-01-04,Due from London,43319.49,Branch settlement transfer from Florence to London,,15,,,branch_activity
Avignon,,Signoria Utilities Office,Cash,,1718.28,,florin,1390-01-04,Security,1718.28,Security expense for Avignon branch (monthly cycle),,16,monthly,,recurring_operating_expense
Milan,,Venetian Grain Brokers,Loans Receivable,Interest Income,19216.58,3458.98,florin,1390-01-05,Cash,22675.56,Loan repayment from Venetian Grain Brokers including interest,,17,,,loan_repayment
Venice,,Lombard Metals Exchange,Loans Receivable,Interest Income,42799.55,6419.93,florin,1390-01-05,Cash,49219.48,Loan repayment from Lombard Metals Exchange including interest,,18,,,loan_repayment
Pisa,,Duke of Milan,Loans Receivable,Interest Income,21393.33,4706.53,florin,1390-01-05,Cash,26099.86,Loan repayment from Duke of Milan including interest,,19,,,loan_repayment
Venice,,Florentine Paperworks,Cash,,44089.16,,florin,1390-01-05,Accounts Payable,44089.16,Vendor payment to Florentine Paperworks for branch services,,20,,,vendor_payment
London,,Wool Guild Syndicate,Cash,,98012.64,,florin,1390-01-06,Loans Receivable,98012.64,Commercial loan issued to Wool Guild Syndicate,,21,,,loan_issuance
Venice,,Republic of Florence,Cash,,6748.44,,florin,1390-01-06,Loans Receivable,6748.44,Commercial loan issued to Republic of Florence,,22,,,loan_issuance
Geneva,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,10503.25,159.95,florin,1390-01-06,Due from Venice,10663.20,Branch settlement transfer from Geneva to Venice,,23,,,branch_activity
London,,Doge of Venice,Cash,,64404.07,,florin,1390-01-06,Loans Receivable,64404.07,Commercial loan issued to Doge of Venice,,24,,,loan_issuance
Milan,,Santa Maria Scribes,Cash,,2342.79,,florin,1390-01-06,Rent,2342.79,Rent expense for Milan branch (monthly cycle),,25,monthly,,recurring_operating_expense
Florence,,Doge of Venice,Loans Receivable,Interest Income,219002.86,17520.23,florin,1390-01-06,Cash,236523.09,Loan repayment from Doge of Venice including interest,,26,,,loan_repayment
Naples,,Mercato Maintenance Works,Cash,,2401.05,,florin,1390-01-07,Maintenance,2401.05,Maintenance expense for Naples branch (quarterly cycle),,27,quarterly,,recurring_operating_expense
Milan,Florence,Inter-branch transfer to Florence,Cash,Exchange Fee Revenue,8040.59,122.45,florin,1390-01-07,Due from Florence,8163.04,Branch settlement transfer from Milan to Florence,,28,,,branch_activity
Geneva,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,10455.00,159.21,florin,1390-01-07,Due from Bruges,10614.21,Branch settlement transfer from Geneva to Bruges,,29,,,branch_activity
Florence,,Lombard Metals Exchange,Trading Revenue,,41413.52,,florin,1390-01-08,Cash,41413.52,Trade finance settlement for metals cargo,,30,,metals,trade_transaction
Florence,,Levant Spice Traders,Trading Revenue,,4086.07,,florin,1390-01-08,Cash,4086.07,Trade finance settlement for metals cargo,,31,,metals,trade_transaction
Milan,,Tuscan Wine Carriers,Cash,,37944.53,,florin,1390-01-08,Loans Receivable,37944.53,Commercial loan issued to Tuscan Wine Carriers,,32,,,loan_issuance
Avignon,Pisa,Inter-branch transfer to Pisa,Cash,Exchange Fee Revenue,30951.13,471.34,florin,1390-01-08,Due from Pisa,31422.47,Branch settlement transfer from Avignon to Pisa,,33,,,branch_activity
Bruges,,Arno Lamp Oil Merchants,Cash,,2320.84,,florin,1390-01-08,Maintenance,2320.84,Maintenance expense for Bruges branch (quarterly cycle),,34,quarterly,,recurring_operating_expense
Naples,,Venetian Grain Brokers,Loans Receivable,Interest Income,34815.02,4177.80,florin,1390-01-08,Cash,38992.82,Loan repayment from Venetian Grain Brokers including interest,,35,,,loan_repayment
Florence,,Republic of Florence,Cash,,162923.35,,florin,1390-01-09,Loans Receivable - Government,162923.35,War financing for Florentine operations against Milan,,36,,,war_financing
Rome,,Wool Merchant,Cash,,6710.59,,florin,1390-01-09,Loans Receivable,6710.59,Loan issued to Wool Merchant from Rome branch,,37,,,loan_issuance
Geneva,,Count of Urbino,Cash,,89923.73,,florin,1390-01-09,Loans Receivable,89923.73,Commercial loan issued to Count of Urbino,,38,,,loan_issuance
London,,Levant Spice Traders,Trading Revenue,,12087.51,,florin,1390-01-09,Cash,12087.51,Trade finance settlement for wool cargo,,39,,wool,trade_transaction
Pisa,,Tuscan Wine Carriers,Loans Receivable,Interest Income,1872.98,224.76,florin,1390-01-09,Cash,2097.74,Loan repayment from Tuscan Wine Carriers including interest,,40,,,loan_repayment
Avignon,,San Lorenzo Couriers,Cash,,2807.10,,florin,1390-01-09,Accounts Payable,2807.10,Vendor payment to San Lorenzo Couriers for branch services,,41,,,vendor_payment
Florence,,Doge of Venice,Loans Receivable,Interest Income,78699.23,6295.94,florin,1390-01-09,Cash,84995.17,Loan repayment from Doge of Venice including interest,,42,,,loan_repayment
Venice,,Banking House,Trading Revenue,,7501.09,,florin,1390-01-10,Cash,7501.09,Alum sale from papal mines,,43,,,alum_trade
London,,Tuscan Wine Carriers,Loans Receivable,Interest Income,23517.78,3527.67,florin,1390-01-10,Cash,27045.45,Loan repayment from Tuscan Wine Carriers including interest,,44,,,loan_repayment
Florence,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,5599.89,85.28,florin,1390-01-10,Due from Bruges,5685.17,Branch settlement transfer from Florence to Bruges,,45,,,branch_activity
Venice,,Wool Guild Syndicate,Trading Revenue,,5416.36,,florin,1390-01-10,Cash,5416.36,Trade finance settlement for spices cargo,,46,,spices,trade_transaction
Avignon,,Lombard Metals Exchange,Trading Revenue,,11930.89,,florin,1390-01-10,Cash,11930.89,Trade finance settlement for metals cargo,,47,,metals,trade_transaction
London,,Silk Consortium,Cash,,99358.54,,florin,1390-01-12,Loans Receivable,99358.54,Commercial loan issued to Silk Consortium,,48,,,loan_issuance
Naples,,Republic of Florence,Cash,,584217.42,,florin,1390-01-12,Loans Receivable,584217.42,Commercial loan issued to Republic of Florence,,49,,,loan_issuance
Florence,,Ponte Vecchio Rent Office,Cash,,2072.31,,florin,1390-01-12,Courier Services,2072.31,Courier Services expense for Florence branch (weekly cycle),,50,weekly,,recurring_operating_expense
Bruges,,Mediterranean Shipping Company,Trading Revenue,,11651.51,,florin,1390-01-12,Cash,11651.51,Trade finance settlement for silk cargo,,51,,silk,trade_transaction
London,,Duke of Milan,Cash,,938922.48,,florin,1390-01-12,Loans Receivable,938922.48,Commercial loan issued to Duke of Milan,,52,,,loan_issuance
London,,London Operations,Cash,,1515.97,,florin,1390-01-13,Maintenance,1515.97,Maintenance expense for London branch,,53,,,operating_expense
London,,Silk Consortium,Cash,,80156.19,,florin,1390-01-13,Loans Receivable,80156.19,Commercial loan issued to Silk Consortium,,54,,,loan_issuance
Avignon,,Levant Spice Traders,Trading Revenue,,20526.68,,florin,1390-01-13,Cash,20526.68,Trade finance settlement for metals cargo,,55,,metals,trade_transaction
Bruges,,Duke of Milan,Cash,,117446.34,,florin,1390-01-13,Loans Receivable,117446.34,Commercial loan issued to Duke of Milan,,56,,,loan_issuance
Milan,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,12148.29,185.00,florin,1390-01-13,Due from Geneva,12333.29,Branch settlement transfer from Milan to Geneva,,57,,,branch_activity
Avignon,,Transfer to Rome,Cash,Exchange Fee Revenue,386583.92,8453.81,florin,1390-01-14,Due from Rome,395037.73,Bill of exchange from Avignon to Rome,,58,,,bill_of_exchange
Bruges,,Wool Guild Syndicate,Loans Receivable,Interest Income,41637.67,9160.29,florin,1390-01-14,Cash,50797.96,Loan repayment from Wool Guild Syndicate including interest,,59,,,loan_repayment
London,,Lombard Metals Exchange,Trading Revenue,,101699.40,,florin,1390-01-14,Cash,101699.40,Trade finance settlement for wine cargo,,60,,wine,trade_transaction
Florence,,Venetian Grain Brokers,Trading Revenue,,1817.12,,florin,1390-01-14,Cash,1817.12,Trade finance settlement for wine cargo,,61,,wine,trade_transaction
Bruges,,Transfer to Rome,Cash,Exchange Fee Revenue,3413.63,60.80,florin,1390-01-15,Due from Rome,3474.43,Bill of exchange from Bruges to Rome,,62,,,bill_of_exchange
Bruges,,Levant Spice Traders,Cash,,2520.63,,florin,1390-01-15,Loans Receivable,2520.63,Commercial loan issued to Levant Spice Traders,,63,,,loan_issuance
Milan,,Tuscan Wine Carriers,Trading Revenue,,927.14,,florin,1390-01-15,Cash,927.14,Trade finance settlement for dyestuffs cargo,,64,,dyestuffs,trade_transaction
Florence,,Lombard Metals Exchange,Trading Revenue,,172073.53,,florin,1390-01-15,Cash,172073.53,Trade finance settlement for wine cargo,,65,,wine,trade_transaction
