branch,branch_to,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,event_name,id,recurrence,trade_good,type,_row_number,_error
Bruges,,Doge of Venice,Loans Receivable,Interest Income,30612.55,3061.255,florin,1392-01-29,Cash,33673.805,Loan repayment from Doge of Venice with interest,,3560,,,loan_repayment,3561,unbalanced transaction at row 3561: debits=33673.80 credits=33673.81
Bruges,,Transfer to Venice,Cash,Exchange Fee Revenue,8335.015,101.235,florin,1396-05-06,Due from Venice,8436.25,Bill of exchange from Bruges to Venice,,10636,,,bill_of_exchange,10637,unbalanced transaction at row 10637: debits=8436.25 credits=8436.26
Avignon,,Doge of Venice,Loans Receivable,Interest Income,36846.75,5158.545,florin,1397-04-20,Cash,42005.295,Loan repayment from Doge of Venice with interest,,12182,,,loan_repayment,12183,unbalanced transaction at row 12183: debits=42005.30 credits=42005.29
Avignon,,Wine Trader,Loans Receivable,Interest Income,470345.75,65848.405,florin,1399-12-18,Cash,536194.155,Loan repayment from Wine Trader with interest,,16601,,,loan_repayment,16602,unbalanced transaction at row 16602: debits=536194.16 credits=536194.15
Florence,,Jewel Trader,Loans Receivable,Interest Income,5452.75,1199.605,florin,1400-04-29,Cash,6652.355,Loan repayment from Jewel Trader with interest,,17205,,,loan_repayment,17206,unbalanced transaction at row 17206: debits=6652.36 credits=6652.35
Geneva,,Textile Merchant,Loans Receivable,Interest Income,8497.05,849.705,florin,1401-09-24,Cash,9346.755,Loan repayment from Textile Merchant with interest,,19546,,,loan_repayment,19547,unbalanced transaction at row 19547: debits=9346.76 credits=9346.75
Bruges,,Cloth Merchant,Loans Receivable,Interest Income,5078.75,507.875,florin,1408-12-29,Cash,5586.625,Loan repayment from Cloth Merchant with interest,,31791,,,loan_repayment,31792,unbalanced transaction at row 31792: debits=5586.62 credits=5586.63
Milan,,Armor Smith,Loans Receivable,Interest Income,30772.95,3077.295,florin,1414-11-22,Cash,33850.245,Loan repayment from Armor Smith with interest,,41590,,,loan_repayment,41591,unbalanced transaction at row 41591: debits=33850.24 credits=33850.25
Venice,,Gold Merchant,Loans Receivable,Interest Income,4758.75,1046.925,florin,1417-04-05,Cash,5805.675,Loan repayment from Gold Merchant with interest,,45599,,,loan_repayment,45600,unbalanced transaction at row 45600: debits=5805.68 credits=5805.67
Venice,,Baron,Loans Receivable,Interest Income,5132.25,1129.095,florin,1424-07-26,Cash,6261.345,Loan repayment from Baron with interest,,57699,,,loan_repayment,57700,unbalanced transaction at row 57700: debits=6261.34 credits=6261.35
London,,Textile Merchant,Loans Receivable,Interest Income,9798.25,979.825,florin,1426-02-15,Cash,10778.075,Loan repayment from Textile Merchant with interest,,60321,,,loan_repayment,60322,unbalanced transaction at row 60322: debits=10778.08 credits=10778.07
Avignon,,Trading Company,Loans Receivable,Interest Income,56178.95,5617.895,florin,1427-02-07,Cash,61796.845,Loan repayment from Trading Company with interest,,61973,,,loan_repayment,61974,unbalanced transaction at row 61974: debits=61796.84 credits=61796.85
Bruges,,Marquis,Loans Receivable,Interest Income,1187.25,166.215,florin,1429-08-06,Cash,1353.465,Loan repayment from Marquis with interest,,66182,,,loan_repayment,66183,unbalanced transaction at row 66183: debits=1353.46 credits=1353.47
Rome,,Duke of Milan,Loans Receivable,Interest Income,9181.35,918.135,florin,1431-10-10,Cash,10099.485,Loan repayment from Duke of Milan with interest,,69793,,,loan_repayment,69794,unbalanced transaction at row 69794: debits=10099.48 credits=10099.49
Avignon,,Wine Trader,Loans Receivable,Interest Income,42367.25,5931.415,florin,1435-12-29,Cash,48298.665,Loan repayment from Wine Trader with interest,,76817,,,loan_repayment,76818,unbalanced transaction at row 76818: debits=48298.66 credits=48298.67
Rome,,Cloth Merchant,Loans Receivable,Interest Income,1046.25,146.475,florin,1437-07-14,Cash,1192.725,Loan repayment from Cloth Merchant with interest,,79337,,,loan_repayment,79338,unbalanced transaction at row 79338: debits=1192.72 credits=1192.73
Rome,,Grain Merchant,Loans Receivable,Interest Income,5315.35,531.535,florin,1438-02-04,Cash,5846.885,Loan repayment from Grain Merchant with interest,,80266,,,loan_repayment,80267,unbalanced transaction at row 80267: debits=5846.88 credits=5846.89
Florence,,King of Naples,Loans Receivable,Interest Income,7834.25,1096.795,florin,1440-04-09,Cash,8931.045,Loan repayment from King of Naples with interest,,83828,,,loan_repayment,83829,unbalanced transaction at row 83829: debits=8931.04 credits=8931.05
Rome,,Wool Merchant,Loans Receivable,Interest Income,27430.75,2743.075,florin,1440-10-21,Cash,30173.825,Loan repayment from Wool Merchant with interest,,84693,,,loan_repayment,84694,unbalanced transaction at row 84694: debits=30173.82 credits=30173.83
