account_name,account_type,normal_balance,debit_total,credit_total,ending_balance,transaction_count,first_date,last_date
Accounts Payable,LIABILITY,CREDIT,99661793.71,0.00,-99661793.71,6525,1390-01-04,1440-12-31
Cash,ASSET,DEBIT,2855035674.89,6255302885.10,-3400267210.21,84981,1390-01-01,1440-12-31
Courier Services,EXPENSE,DEBIT,9312802.45,0.00,9312802.45,2581,1390-01-01,1440-12-28
Deposits Payable,LIABILITY,CREDIT,135802228.41,1453064057.17,1317261828.76,7756,1390-01-04,1440-12-31
Due from Avignon,ASSET,DEBIT,66707310.55,0.00,66707310.55,1628,1390-01-27,1440-12-25
Due from Bruges,ASSET,DEBIT,68550011.05,0.00,68550011.05,1615,1390-01-02,1440-12-19
Due from Florence,ASSET,DEBIT,66503847.91,0.00,66503847.91,1662,1390-01-04,1440-12-24
Due from Geneva,ASSET,DEBIT,65863194.70,0.00,65863194.70,1652,1390-01-03,1440-12-23
Due from London,ASSET,DEBIT,67128383.23,0.00,67128383.23,1581,1390-01-04,1440-12-12
Due from Milan,ASSET,DEBIT,63077359.16,0.00,63077359.16,1608,1390-01-25,1440-12-28
Due from Naples,ASSET,DEBIT,44645460.16,0.00,44645460.16,1460,1390-01-25,1440-12-17
Due from Pisa,ASSET,DEBIT,44451456.77,0.00,44451456.77,1460,1390-01-08,1440-12-23
Due from Rome,ASSET,DEBIT,63567031.45,0.00,63567031.45,1672,1390-01-14,1440-11-26
Due from Venice,ASSET,DEBIT,71771618.86,0.00,71771618.86,1588,1390-01-06,1440-12-20
Exchange Fee Revenue,REVENUE,CREDIT,0.00,10182409.35,10182409.35,15926,1390-01-02,1440-12-28
Interest Income,REVENUE,CREDIT,0.00,119122266.82,119122266.82,11743,1390-01-01,1440-12-30
Loans Receivable,ASSET,DEBIT,2340732368.30,819535761.16,1521196607.14,23401,1390-01-01,1440-12-31
Loans Receivable - Government,ASSET,DEBIT,2968850689.89,0.00,2968850689.89,2629,1390-01-09,1440-12-31
Maintenance,EXPENSE,DEBIT,10186678.19,0.00,10186678.19,2541,1390-01-07,1440-12-26
Papal Receivable,ASSET,DEBIT,35000.00,0.00,35000.00,1,1415-05-29,1415-05-29
Political Influence Expense,EXPENSE,DEBIT,14150366.64,0.00,14150366.64,477,1390-02-11,1440-12-02
Political Receivable,ASSET,DEBIT,23147169.84,0.00,23147169.84,321,1390-01-19,1440-07-30
Rent,EXPENSE,DEBIT,9612996.54,0.00,9612996.54,2478,1390-01-06,1440-12-18
Security,EXPENSE,DEBIT,9699227.35,0.00,9699227.35,2518,1390-01-04,1440-12-09
Supplies,EXPENSE,DEBIT,8976036.26,0.00,8976036.26,2479,1390-01-18,1440-12-31
Trading Revenue,REVENUE,CREDIT,0.00,463313589.74,463313589.74,12873,1390-01-02,1440-12-31
Wages,EXPENSE,DEBIT,13052263.03,0.00,13052263.03,2475,1390-01-20,1440-12-18
