rule,severity,branch,alert_count,affected_transaction_count
A,HIGH,Avignon,2,2002
A,HIGH,Bruges,2,811
A,HIGH,Florence,3,2433
A,HIGH,Geneva,3,3396
A,HIGH,London,3,2299
A,HIGH,Milan,4,2474
A,HIGH,Naples,4,4320
A,HIGH,Pisa,3,3339
A,HIGH,Rome,4,2707
A,HIGH,Venice,3,3305
A,MEDIUM,Avignon,8,5749
A,MEDIUM,Bruges,8,7054
A,MEDIUM,Florence,9,8295
A,MEDIUM,Geneva,6,4130
A,MEDIUM,London,7,5656
A,MEDIUM,Milan,7,5503
A,MEDIUM,Naples,2,2105
A,MEDIUM,Pisa,3,3358
A,MEDIUM,Rome,7,10061
A,MEDIUM,Venice,8,5032
B,HIGH,Avignon,2,92
B,HIGH,Bruges,1,42
B,HIGH,Florence,2,93
B,HIGH,Geneva,1,32
B,HIGH,London,1,37
B,HIGH,Milan,1,39
B,HIGH,Naples,2,50
B,HIGH,Pisa,2,76
B,HIGH,Rome,1,38
B,HIGH,Venice,1,56
B,MEDIUM,Avignon,46,1327
B,MEDIUM,Bruges,51,1432
B,MEDIUM,Florence,48,1360
B,MEDIUM,Geneva,52,1497
B,MEDIUM,London,51,1528
B,MEDIUM,Milan,48,1346
B,MEDIUM,Naples,46,1224
B,MEDIUM,Pisa,45,1260
B,MEDIUM,Rome,51,1401
B,MEDIUM,Venice,51,1471
E,MEDIUM,Avignon,47,145
E,MEDIUM,Bruges,55,168
E,MEDIUM,Florence,46,150
E,MEDIUM,Geneva,53,164
E,MEDIUM,London,41,128
E,MEDIUM,Milan,45,140
E,MEDIUM,Naples,30,91
E,MEDIUM,Pisa,48,146
E,MEDIUM,Rome,101,423
E,MEDIUM,Venice,42,127
