branch,transaction_count,cash_inflows,cash_outflows,deposits,withdrawals,loans_issued,loans_repaid,loan_portfolio_balance,interest_earned,operating_expenses,trading_revenue,exchange_fee_revenue,interest_income,total_revenue,net_income,final_cash_balance,first_date,last_date
Avignon,7751,164845768.95,353668945.80,22133696.00,16310686.38,254713975.29,87332103.26,167381872.03,12505138.00,6529636.10,42874831.69,506226.41,12505138.00,56501561.01,49971924.91,-188823176.85,1390-01-02,1440-12-31
Bruges,7865,151100049.98,333666477.45,17799782.76,17255133.85,231961816.95,78645706.37,153316110.58,11550731.45,6382945.14,43103829.40,520733.46,11550731.45,55804872.90,49421927.76,-182566427.47,1390-01-04,1440-12-27
Constance,1,0.00,35000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35000.00,1415-05-29,1415-05-29
Florence,10939,173130580.95,3287262855.39,19132733.03,16397160.02,213968160.06,89630163.24,124337996.82,13092237.71,6546459.80,51275446.97,413088.48,13092237.71,65400280.00,58853820.20,-3114132274.44,1390-01-01,1440-12-31
Geneva,7751,146783287.13,342033046.10,14442728.31,15348441.79,242230655.89,79147550.89,163083105.00,11590488.73,6146483.66,41602519.20,457010.65,11590488.73,54334653.09,48188169.43,-195249758.97,1390-01-06,1440-12-31
London,7955,153971817.28,346455263.11,17289683.58,18140736.54,245437549.53,82100108.27,163337441.26,12013016.71,6184789.16,42569008.72,392290.71,12013016.71,55672957.71,49488168.55,-192483445.83,1390-01-01,1440-12-26
Milan,7977,154690982.30,358336813.08,16649205.20,17428961.48,247274052.67,83267555.51,164006497.16,11658484.76,6502009.45,43115736.83,416252.46,11658484.76,55898606.30,49396596.85,-203645830.78,1390-01-01,1440-12-31
Naples,6425,131746778.19,261191594.23,0.00,0.00,203750052.66,78928032.78,124822019.88,11544677.98,5244052.65,41274067.43,0.00,11544677.98,53450952.22,48206899.57,-129444816.04,1390-01-01,1440-12-29
Pisa,6697,118294397.62,274197958.79,0.00,0.00,213421191.80,66824330.74,146596861.06,9558122.89,5274110.70,41911943.99,0.00,9558122.89,52146761.53,46872650.83,-155903561.17,1390-01-04,1440-12-24
Rome,13013,1475404212.89,363508687.34,1324276256.43,17370412.49,252051045.83,83354640.91,168696404.92,12214771.32,5610978.46,55558544.23,434288.74,12214771.32,68876463.19,63265484.73,1111895525.55,1390-01-02,1440-12-27
Venice,8607,185067799.60,345128653.16,21339971.86,17550695.86,235923867.62,90305569.19,145618298.43,13394597.27,6418538.70,60027661.28,455573.95,13394597.27,74531157.96,68112619.26,-160060853.56,1390-01-02,1440-12-29
