branch,debit_account,counterparty,amount,transaction_count
Avignon,Courier Services,Arno Lamp Oil Merchants,137545.95,35
Avignon,Courier Services,Avignon Operations,34947.78,55
Avignon,Courier Services,Florentine Paperworks,123921.60,35
Avignon,Courier Services,Guildhall Security Company,177131.02,36
Avignon,Courier Services,Mercato Maintenance Works,66126.14,24
Avignon,Courier Services,Ponte Vecchio Rent Office,126978.00,27
Avignon,Courier Services,San Lorenzo Couriers,87144.49,28
Avignon,Courier Services,Santa Maria Scribes,88755.99,25
Avignon,Courier Services,Signoria Utilities Office,132394.00,34
Avignon,Maintenance,Arno Lamp Oil Merchants,58461.36,27
Avignon,Maintenance,Avignon Operations,109421.60,46
Avignon,Maintenance,Florentine Paperworks,85976.50,21
Avignon,Maintenance,Guildhall Security Company,140576.28,40
Avignon,Maintenance,Mercato Maintenance Works,82172.72,25
Avignon,Maintenance,Ponte Vecchio Rent Office,163548.27,28
Avignon,Maintenance,San Lorenzo Couriers,99314.89,31
Avignon,Maintenance,Santa Maria Scribes,122270.45,31
Avignon,Maintenance,Signoria Utilities Office,157159.39,34
Avignon,Rent,Arno Lamp Oil Merchants,122758.79,24
Avignon,Rent,Avignon Operations,251197.08,44
Avignon,Rent,Florentine Paperworks,132755.88,30
Avignon,Rent,Guildhall Security Company,92948.89,30
Avignon,Rent,Mercato Maintenance Works,121444.40,25
Avignon,Rent,Ponte Vecchio Rent Office,128432.78,31
Avignon,Rent,San Lorenzo Couriers,80553.66,24
Avignon,Rent,Santa Maria Scribes,121492.43,31
Avignon,Rent,Signoria Utilities Office,66705.96,21
Avignon,Security,Arno Lamp Oil Merchants,152320.37,29
Avignon,Security,Avignon Operations,119542.34,39
Avignon,Security,Florentine Paperworks,130148.54,22
Avignon,Security,Guildhall Security Company,79408.41,23
Avignon,Security,Mercato Maintenance Works,82465.17,33
Avignon,Security,Ponte Vecchio Rent Office,127616.52,35
Avignon,Security,San Lorenzo Couriers,102414.02,25
Avignon,Security,Santa Maria Scribes,64891.21,14
Avignon,Security,Signoria Utilities Office,83345.61,23
Avignon,Supplies,Arno Lamp Oil Merchants,63333.39,23
Avignon,Supplies,Avignon Operations,95365.66,50
Avignon,Supplies,Florentine Paperworks,63620.81,21
Avignon,Supplies,Guildhall Security Company,106735.34,21
Avignon,Supplies,Mercato Maintenance Works,104053.40,31
Avignon,Supplies,Ponte Vecchio Rent Office,32725.54,12
Avignon,Supplies,San Lorenzo Couriers,153607.49,39
Avignon,Supplies,Santa Maria Scribes,136161.08,25
Avignon,Supplies,Signoria Utilities Office,76113.50,26
Avignon,Wages,Arno Lamp Oil Merchants,73575.24,20
Avignon,Wages,Avignon Operations,799694.32,48
Avignon,Wages,Florentine Paperworks,64471.10,12
Avignon,Wages,Guildhall Security Company,78100.62,21
Avignon,Wages,Mercato Maintenance Works,97034.62,18
Avignon,Wages,Ponte Vecchio Rent Office,71944.69,22
Avignon,Wages,San Lorenzo Couriers,173246.32,32
Avignon,Wages,Santa Maria Scribes,155463.55,28
Avignon,Wages,Signoria Utilities Office,130100.94,27
Bruges,Courier Services,Arno Lamp Oil Merchants,86279.62,23
Bruges,Courier Services,Bruges Operations,12799.79,28
Bruges,Courier Services,Florentine Paperworks,152612.78,29
Bruges,Courier Services,Guildhall Security Company,152793.56,36
Bruges,Courier Services,Mercato Maintenance Works,136721.47,37
Bruges,Courier Services,Ponte Vecchio Rent Office,126137.26,32
Bruges,Courier Services,San Lorenzo Couriers,136822.71,38
Bruges,Courier Services,Santa Maria Scribes,108733.59,32
Bruges,Courier Services,Signoria Utilities Office,85115.61,26
Bruges,Maintenance,Arno Lamp Oil Merchants,74378.62,19
Bruges,Maintenance,Bruges Operations,117853.65,39
Bruges,Maintenance,Florentine Paperworks,73846.56,27
Bruges,Maintenance,Guildhall Security Company,156696.43,27
Bruges,Maintenance,Mercato Maintenance Works,128943.05,25
Bruges,Maintenance,Ponte Vecchio Rent Office,102307.45,19
Bruges,Maintenance,San Lorenzo Couriers,109393.26,24
Bruges,Maintenance,Santa Maria Scribes,134634.50,23
Bruges,Maintenance,Signoria Utilities Office,155647.65,31
Bruges,Rent,Arno Lamp Oil Merchants,99179.36,25
Bruges,Rent,Bruges Operations,121153.37,38
Bruges,Rent,Florentine Paperworks,60621.21,24
Bruges,Rent,Guildhall Security Company,78416.01,24
Bruges,Rent,Mercato Maintenance Works,151412.90,33
Bruges,Rent,Ponte Vecchio Rent Office,75485.09,24
Bruges,Rent,San Lorenzo Couriers,166298.34,29
Bruges,Rent,Santa Maria Scribes,87783.76,25
Bruges,Rent,Signoria Utilities Office,149343.14,31
Bruges,Security,Arno Lamp Oil Merchants,111183.68,30
Bruges,Security,Bruges Operations,115995.71,32
Bruges,Security,Florentine Paperworks,177770.34,39
Bruges,Security,Guildhall Security Company,106213.14,32
Bruges,Security,Mercato Maintenance Works,138603.64,32
Bruges,Security,Ponte Vecchio Rent Office,130933.94,32
Bruges,Security,San Lorenzo Couriers,112690.90,29
Bruges,Security,Santa Maria Scribes,85128.66,20
Bruges,Security,Signoria Utilities Office,94528.66,23
Bruges,Supplies,Arno Lamp Oil Merchants,85986.38,26
Bruges,Supplies,Bruges Operations,52173.14,33
Bruges,Supplies,Florentine Paperworks,127430.77,28
Bruges,Supplies,Guildhall Security Company,76282.04,30
Bruges,Supplies,Mercato Maintenance Works,125920.77,24
Bruges,Supplies,Ponte Vecchio Rent Office,109383.57,29
Bruges,Supplies,San Lorenzo Couriers,151724.88,31
Bruges,Supplies,Santa Maria Scribes,84210.37,21
Bruges,Supplies,Signoria Utilities Office,164735.23,22
Bruges,Wages,Arno Lamp Oil Merchants,89736.91,25
Bruges,Wages,Bruges Operations,500619.87,42
Bruges,Wages,Florentine Paperworks,63623.01,16
Bruges,Wages,Guildhall Security Company,116191.07,24
Bruges,Wages,Mercato Maintenance Works,120779.88,25
Bruges,Wages,Ponte Vecchio Rent Office,142736.93,31
Bruges,Wages,San Lorenzo Couriers,65259.02,22
Bruges,Wages,Santa Maria Scribes,67674.56,26
Bruges,Wages,Signoria Utilities Office,124017.33,26
Florence,Courier Services,Arno Lamp Oil Merchants,93734.27,33
Florence,Courier Services,Florence Operations,24047.27,38
Florence,Courier Services,Florentine Paperworks,140921.22,30
Florence,Courier Services,Guildhall Security Company,144583.10,32
Florence,Courier Services,Mercato Maintenance Works,155732.47,29
