branch,counterparty,first_issued_date,last_activity_date,estimated_due_date,total_issued,total_repaid,outstanding_balance,status
Avignon,Archbishop,1390-12-06,1436-12-30,1391-12-06,5426226.50,528734.46,4897492.04,OPEN
Avignon,Baron,1394-10-30,1440-07-25,1395-10-30,5860493.46,251466.90,5609026.56,OPEN
Avignon,Cardinal,1395-04-23,1437-03-27,1396-04-22,6468106.79,712976.62,5755130.17,OPEN
Avignon,Cloth Merchant,1394-06-11,1439-04-13,1395-06-11,1732244.62,1481426.92,250817.70,OPEN
Avignon,Count of Urbino,1390-04-14,1440-09-06,1391-04-14,18873044.04,4771997.40,14101046.64,OPEN
Avignon,Doge of Venice,1391-02-14,1440-05-10,1392-02-14,16498011.95,5869151.64,10628860.31,OPEN
Avignon,Duke of Milan,1390-06-22,1440-11-29,1391-06-22,19178679.22,5675312.17,13503367.05,OPEN
Avignon,Flemish Cloth House,1390-06-12,1440-11-26,1391-06-12,13371310.62,5139749.82,8231560.80,OPEN
Avignon,Jewel Trader,1390-02-18,1439-12-11,1391-02-18,1510125.52,783481.01,726644.51,OPEN
Avignon,King of Naples,1392-01-16,1436-06-16,1393-01-15,10831137.96,626338.56,10204799.40,OPEN
Avignon,Kingdom of Naples,1390-11-23,1440-09-14,1391-11-23,15823572.02,5835829.65,9987742.37,OPEN
Avignon,Levant Spice Traders,1390-08-12,1440-11-02,1391-08-12,11109754.39,4351291.77,6758462.62,OPEN
Avignon,Lombard Metals Exchange,1390-08-14,1440-12-10,1391-08-14,14351788.98,6044715.44,8307073.54,OPEN
Avignon,Lord,1395-06-02,1438-02-18,1396-06-01,7275947.72,640502.88,6635444.84,OPEN
Avignon,Marquis,1392-11-16,1440-01-06,1393-11-16,8181679.99,474444.88,7707235.11,OPEN
Avignon,Marquis of Mantua,1391-07-02,1440-10-08,1392-07-01,13331720.54,4196666.97,9135053.57,OPEN
Avignon,Mediterranean Shipping Company,1390-09-03,1440-12-08,1391-09-03,12869044.74,3707699.48,9161345.26,OPEN
Avignon,Republic of Florence,1390-06-18,1440-09-15,1391-06-18,10543399.00,5086273.31,5457125.69,OPEN
Avignon,Silk Consortium,1390-04-03,1440-12-26,1391-04-03,14769474.40,5622956.79,9146517.61,OPEN
Avignon,Silk Trader,1393-10-28,1438-06-06,1394-10-28,1212357.25,1033756.73,178600.52,OPEN
Avignon,Tuscan Wine Carriers,1391-05-09,1440-12-09,1392-05-08,11732255.90,4519687.17,7212568.73,OPEN
Avignon,Venetian Grain Brokers,1392-01-26,1440-08-27,1393-01-25,13449283.16,5714071.35,7735211.81,OPEN
Avignon,Wool Guild Syndicate,1391-03-19,1440-10-10,1392-03-18,15603280.01,6484860.96,9118419.05,OPEN
Avignon,Wool Merchant,1394-09-24,1438-06-15,1395-09-24,770106.82,245292.26,524814.56,OPEN
Bruges,Archbishop,1390-06-01,1434-05-01,1391-06-01,330407.52,295331.36,35076.16,OPEN
Bruges,Armor Smith,1393-01-02,1440-07-28,1394-01-02,1454581.50,764312.49,690269.01,OPEN
Bruges,Banking House,1391-11-15,1435-07-28,1392-11-14,1111199.79,1050961.73,60238.06,OPEN
Bruges,Baron,1434-05-15,1440-07-12,1435-05-15,890602.81,824537.03,66065.78,OPEN
Bruges,Cardinal,1395-07-05,1440-06-18,1396-07-04,10966381.90,68635.29,10897746.61,OPEN
Bruges,Count of Urbino,1390-01-22,1440-02-04,1391-01-22,15305485.96,3907148.04,11398337.92,OPEN
Bruges,Doge of Venice,1390-11-26,1440-10-21,1391-11-26,15735752.39,4077142.11,11658610.28,OPEN
Bruges,Duke of Milan,1390-01-13,1440-04-17,1391-01-13,11630041.09,3609496.28,8020544.81,OPEN
Bruges,Flemish Cloth House,1390-03-05,1440-11-21,1391-03-05,14231432.32,4300389.85,9931042.47,OPEN
Bruges,Grain Merchant,1390-02-04,1437-08-12,1391-02-04,1232826.83,932616.98,300209.85,OPEN
Bruges,King of Naples,1395-03-31,1439-11-01,1396-03-30,4396473.41,925886.92,3470586.49,OPEN
Bruges,Kingdom of Naples,1390-07-22,1440-02-17,1391-07-22,14355250.50,5082993.31,9272257.19,OPEN
Bruges,Levant Spice Traders,1390-01-15,1440-05-23,1391-01-15,14205988.45,4248890.43,9957098.02,OPEN
Bruges,Lombard Metals Exchange,1390-05-26,1440-08-27,1391-05-26,16904338.45,4530852.52,12373485.93,OPEN
Bruges,Marquis,1390-12-20,1438-05-11,1391-12-20,3144371.53,590527.51,2553844.02,OPEN
Bruges,Marquis of Mantua,1390-03-06,1440-12-08,1391-03-06,15536431.65,5254293.00,10282138.65,OPEN
Bruges,Mediterranean Shipping Company,1390-01-04,1440-12-12,1391-01-04,9885118.66,4615931.21,5269187.45,OPEN
Bruges,Republic of Florence,1390-03-04,1440-10-31,1391-03-04,13078579.42,3593597.88,9484981.54,OPEN
Bruges,Silk Consortium,1391-03-06,1440-09-24,1392-03-05,16750228.06,7319738.13,9430489.93,OPEN
Bruges,Silk Trader,1391-06-28,1439-08-17,1392-06-27,1013350.03,370927.15,642422.88,OPEN
Bruges,Spice Merchant,1394-03-18,1437-12-06,1395-03-18,1015187.50,449796.56,565390.94,OPEN
Bruges,Textile Merchant,1390-03-06,1439-05-09,1391-03-06,1105079.60,598837.59,506242.01,OPEN
Bruges,Tuscan Wine Carriers,1390-07-07,1440-11-15,1391-07-07,14413460.31,5083006.63,9330453.68,OPEN
Bruges,Venetian Grain Brokers,1390-02-05,1440-12-21,1391-02-05,14505398.12,3846351.80,10659046.32,OPEN
Bruges,Wine Trader,1391-09-26,1438-05-09,1392-09-25,2066492.70,1306575.34,759917.36,OPEN
Bruges,Wool Guild Syndicate,1390-03-12,1440-08-27,1391-03-12,12758671.39,5116363.24,7642308.15,OPEN
Bruges,Wool Merchant,1392-06-03,1438-06-24,1393-06-03,874259.46,97587.49,776671.97,OPEN
Florence,Archbishop,1394-02-04,1429-05-25,1395-02-04,1434938.87,484743.78,950195.09,OPEN
Florence,Banking House,1390-05-24,1436-07-26,1391-05-24,683507.89,612846.19,70661.70,OPEN
Florence,Baron,1393-09-30,1439-04-25,1394-09-30,1528635.07,1104335.12,424299.95,OPEN
Florence,Cardinal,1395-06-19,1437-09-02,1396-06-18,2486814.35,716860.29,1769954.06,OPEN
Florence,Count of Urbino,1390-03-25,1440-12-28,1391-03-25,26524740.22,7125517.14,19399223.08,OPEN
Florence,Doge of Venice,1390-02-01,1440-11-21,1391-02-01,17504828.90,6234716.74,11270112.16,OPEN
Florence,Duke of Milan,1392-02-25,1440-11-08,1393-02-24,15513366.64,5680751.49,9832615.15,OPEN
Florence,Flemish Cloth House,1390-12-29,1440-06-13,1391-12-29,10778833.55,6277968.74,4500864.81,OPEN
Florence,Gold Merchant,1398-02-10,1440-08-26,1399-02-10,622141.78,531989.70,90152.08,OPEN
