branch,period,transaction_count,cash_inflows,cash_outflows,net_cash_movement,closing_cash_balance,deposits,withdrawals,loans_issued,loans_repaid,loan_portfolio_balance,interest_earned,operating_expenses,trading_revenue,exchange_fee_revenue,interest_income,total_revenue,net_income,expense_ratio
Avignon,1390-01,11,281365.97,453045.61,-171679.64,-171679.64,0.00,0.00,0.00,229662.25,-229662.25,19246.15,3660.28,32457.57,8453.81,19246.15,60930.64,57270.36,0.0601
Avignon,1390-02,6,0.00,30504.62,-30504.62,-202184.26,0.00,14254.62,2648.04,0.00,-227014.21,0.00,678.42,0.00,10.30,0.00,10.30,-668.12,65.8660
Avignon,1390-03,14,98384.66,305087.13,-206702.47,-408886.73,0.00,0.00,0.00,85948.14,-312962.35,12436.52,97894.67,0.00,0.00,12436.52,15465.65,-82429.02,6.3298
Avignon,1390-04,12,667622.30,442550.39,225071.91,-183814.82,635273.41,0.00,307085.73,0.00,-5876.62,0.00,26665.80,32348.89,0.00,0.00,33496.26,6830.46,0.7961
Avignon,1390-05,14,413145.39,186633.06,226512.33,42697.51,1110.64,0.00,0.00,191894.73,-197771.35,26600.59,5960.81,193539.43,1586.82,26600.59,222994.36,217033.55,0.0267
Avignon,1390-06,11,63284.66,1567037.98,-1503753.32,-1461055.81,0.00,6219.69,1543985.62,37624.33,1308589.94,5643.65,636.98,20016.68,0.00,5643.65,25903.26,25266.28,0.0246
Avignon,1390-07,12,39440.27,674677.13,-635236.86,-2096292.67,0.00,6620.71,405537.31,22241.92,1691885.33,2224.19,4526.69,14974.16,0.00,2224.19,21068.23,16541.54,0.2149
Avignon,1390-08,16,130550.75,509605.89,-379055.14,-2475347.81,65419.05,0.00,252514.27,15035.25,1929364.35,1202.82,19800.36,48893.63,0.00,1202.82,53276.78,33476.42,0.3717
Avignon,1390-09,13,870215.07,262067.55,608147.52,-1867200.29,0.00,0.00,80997.51,546567.89,1463793.97,91718.25,10585.74,231928.93,235.97,91718.25,325358.17,314772.43,0.0325
Avignon,1390-10,13,121326.54,114477.91,6848.63,-1860351.66,0.00,0.00,75215.99,70280.03,1468729.93,11011.47,28171.23,40035.04,0.00,11011.47,51186.25,23015.02,0.5504
